freq,freq_label,unit,unit_label,sector,sector_label,na_item,na_item_label,geo,geo_label,time,time_label,value,status,dataset_label,source,updated
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,DK,Denmark,2006,2006,33.2,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,DK,Denmark,2007,2007,29.5,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,DK,Denmark,2008,2008,35.5,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,DK,Denmark,2009,2009,43.0,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,DK,Denmark,2010,2010,46.1,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,DK,Denmark,2011,2011,50.0,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,DK,Denmark,2012,2012,48.7,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,DK,Denmark,2013,2013,47.8,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,DK,Denmark,2014,2014,48.7,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,DK,Denmark,2015,2015,44.6,,"Government deficit/surplus, debt and associated data",ESTAT,2026-04-22T11:00:00+0200
